submission,agent_type,model,instance_id,total_actions,bash_commands,test_executions,file_edits,file_reads,resolved
lite_20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-15512,32,6,5,12,13,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-20212,32,9,2,8,14,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-14411,16,6,0,2,7,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13230,15,2,0,8,4,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-12470,31,6,2,3,21,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25570,29,3,2,20,5,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13768,16,2,0,9,4,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13925,6,3,0,2,0,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14774,10,4,2,4,1,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-11564,27,11,6,9,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24334,34,10,1,2,21,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-21379,19,9,2,3,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-24149,12,6,2,3,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-15902,19,5,2,3,8,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,pylint-dev__pylint-7993,15,4,1,7,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-16988,34,4,2,3,26,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23476,10,3,1,5,1,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-14087,36,9,9,22,4,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-24102,32,7,2,3,21,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-23117,32,3,1,2,26,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23913,30,8,2,4,17,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-2317,10,4,1,3,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13933,9,3,0,2,3,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sphinx-doc__sphinx-10451,34,17,1,2,14,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-12286,9,4,2,3,1,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-25433,20,9,1,2,8,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23562,10,4,2,3,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-8365,14,5,3,6,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-15781,20,7,0,1,11,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,matplotlib__matplotlib-23299,33,11,2,7,14,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-15789,10,3,0,3,3,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13660,12,4,2,5,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,psf__requests-2148,13,1,0,7,4,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-16041,35,12,7,15,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,pytest-dev__pytest-11148,16,5,3,8,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,pydata__xarray-4248,15,7,0,1,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-15388,17,7,1,3,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-13584,12,4,2,5,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13710,25,3,0,17,4,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,scikit-learn__scikit-learn-25500,9,3,2,3,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-12453,10,1,0,3,5,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-13220,21,6,3,8,6,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-17139,13,6,3,4,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-12908,36,7,7,21,7,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-14817,12,5,2,4,2,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-16910,32,16,3,6,9,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,django__django-15695,34,8,8,24,1,True
lite_20240402_sweagent_gpt4,sweagent,gpt4,sympy__sympy-18621,31,7,4,12,11,True
