agent_type,model,dataset,instance_id,bash_commands,test_executions,file_edits,num_turns
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-15512,9,4,5,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-20212,3,1,12,19
SWE-agent,Claude-3-Opus,lite,django__django-14411,8,0,0,19
SWE-agent,Claude-3-Opus,lite,django__django-13230,9,2,2,18
SWE-agent,Claude-3-Opus,lite,django__django-12470,15,8,7,26
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-25570,8,3,6,16
SWE-agent,Claude-3-Opus,lite,django__django-13768,6,1,8,19
SWE-agent,Claude-3-Opus,lite,django__django-13925,12,3,3,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14774,3,2,5,10
SWE-agent,Claude-3-Opus,lite,django__django-11564,4,0,4,12
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-24334,7,4,5,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-21379,7,3,4,18
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-24149,7,3,4,16
SWE-agent,Claude-3-Opus,lite,django__django-15902,7,0,5,15
SWE-agent,Claude-3-Opus,lite,pylint-dev__pylint-7993,2,0,7,15
SWE-agent,Claude-3-Opus,lite,sympy__sympy-16988,8,3,4,21
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23476,2,1,2,5
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-14087,7,5,8,17
SWE-agent,Claude-3-Opus,lite,sympy__sympy-24102,9,2,3,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-23117,9,4,5,18
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23913,5,2,5,17
SWE-agent,Claude-3-Opus,lite,psf__requests-2317,4,1,3,10
SWE-agent,Claude-3-Opus,lite,django__django-13933,7,4,8,19
SWE-agent,Claude-3-Opus,lite,sphinx-doc__sphinx-10451,3,0,12,23
SWE-agent,Claude-3-Opus,lite,django__django-12286,6,3,5,14
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-25433,8,5,6,19
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23562,4,3,5,12
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-8365,6,1,5,18
SWE-agent,Claude-3-Opus,lite,django__django-15781,12,4,4,17
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23299,9,3,5,21
SWE-agent,Claude-3-Opus,lite,django__django-15789,3,1,7,13
SWE-agent,Claude-3-Opus,lite,django__django-13660,4,0,4,10
SWE-agent,Claude-3-Opus,lite,psf__requests-2148,5,3,5,11
SWE-agent,Claude-3-Opus,lite,django__django-16041,8,4,11,25
SWE-agent,Claude-3-Opus,lite,pytest-dev__pytest-11148,4,0,0,5
SWE-agent,Claude-3-Opus,lite,pydata__xarray-4248,7,2,4,19
SWE-agent,Claude-3-Opus,lite,django__django-15388,7,2,6,19
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-13584,6,5,9,17
SWE-agent,Claude-3-Opus,lite,django__django-13710,7,1,3,15
SWE-agent,Claude-3-Opus,lite,scikit-learn__scikit-learn-25500,4,3,4,10
SWE-agent,Claude-3-Opus,lite,django__django-12453,8,2,2,13
SWE-agent,Claude-3-Opus,lite,django__django-13220,5,3,4,12
SWE-agent,Claude-3-Opus,lite,sympy__sympy-17139,6,6,7,17
SWE-agent,Claude-3-Opus,lite,django__django-12908,4,1,12,19
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14817,6,3,5,16
SWE-agent,Claude-3-Opus,lite,django__django-16910,6,5,10,21
SWE-agent,Claude-3-Opus,lite,django__django-15695,11,2,4,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-18621,5,3,5,14
SWE-agent,Claude-3-Opus,lite,django__django-14999,7,0,1,17
SWE-agent,Claude-3-Opus,lite,matplotlib__matplotlib-23964,4,2,3,9
SWE-agent,Claude-3-Opus,lite,sympy__sympy-19007,5,1,5,18
SWE-agent,Claude-3-Opus,lite,sympy__sympy-11897,10,3,5,20
SWE-agent,Claude-3-Opus,lite,sympy__sympy-14024,8,2,6,20
SWE-agent,Claude-3-Opus,lite,django__django-16046,5,2,4,12
SWE-agent,Claude-3-Opus,lite,django__django-15996,9,2,7,22
