dataset,agent,mode,instances,instances_with_exec,attempted,attempted_per_task,completed,completed_per_task,env_error,env_error_per_task,actionable,actionable_per_task,all_passed,all_passed_per_task,test_pass,test_fail
swebenchlite,claude_code,run_free,100,18,79,0.79,55,0.55,22,0.22,39,0.39,22,0.22,31,23
swebenchlite,claude_code,run_less_k1,100,89,639,6.39,452,4.52,182,1.82,269,2.69,156,1.56,274,214
swebenchlite,claude_code,run_less_k3,100,98,844,8.44,625,6.25,210,2.1,391,3.91,221,2.21,365,285
swebenchlite,claude_code,run_cost,100,84,803,8.03,617,6.17,181,1.81,396,3.96,253,2.53,380,236
swebenchlite,claude_code,run_full,100,94,952,9.52,741,7.41,197,1.97,530,5.3,364,3.64,513,270
swebenchlite,claude_code,run_hard_free,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
swebenchlite,codex,run_free,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
swebenchlite,codex,run_less_k1,100,97,124,1.24,54,0.54,55,0.55,47,0.47,28,0.28,33,21
swebenchlite,codex,run_less_k3,100,90,265,2.65,190,1.9,48,0.48,172,1.72,94,0.94,132,84
swebenchlite,codex,run_cost,100,86,243,2.43,158,1.58,52,0.52,141,1.41,90,0.9,111,54
swebenchlite,codex,run_full,100,100,343,3.43,263,2.63,54,0.54,234,2.34,139,1.39,182,102
swebenchlite,opencode,run_free,100,7,77,0.77,71,0.71,6,0.06,14,0.14,0,0.0,1,15
swebenchlite,opencode,run_less_k1,100,71,1293,12.93,1219,12.19,58,0.58,549,5.49,242,2.42,277,352
swebenchlite,opencode,run_less_k3,100,71,1207,12.07,1054,10.54,135,1.35,301,3.01,55,0.55,61,333
swebenchlite,opencode,run_cost,100,63,1130,11.3,1033,10.33,73,0.73,331,3.31,68,0.68,83,303
swebenchlite,opencode,run_full,100,58,1066,10.66,951,9.51,91,0.91,222,2.22,65,0.65,104,192
swebenchverified,claude_code,run_free,100,16,76,0.76,59,0.59,17,0.17,36,0.36,22,0.22,31,21
swebenchverified,claude_code,run_less_k1,100,81,611,6.11,452,4.52,153,1.53,290,2.9,140,1.4,236,228
swebenchverified,claude_code,run_less_k3,100,91,734,7.34,573,5.73,157,1.57,325,3.25,165,1.65,280,240
swebenchverified,claude_code,run_cost,100,80,678,6.78,530,5.3,145,1.45,365,3.65,217,2.17,314,222
swebenchverified,claude_code,run_full,100,89,860,8.6,700,7.0,152,1.52,498,4.98,288,2.88,418,287
swebenchverified,claude_code,run_hard_free,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
swebenchverified,codex,run_free,100,1,1,0.01,1,0.01,0,0.0,0,0.0,0,0.0,0,0
swebenchverified,codex,run_less_k1,100,89,119,1.19,59,0.59,43,0.43,50,0.5,29,0.29,33,24
swebenchverified,codex,run_less_k3,100,95,240,2.4,193,1.93,30,0.3,169,1.69,95,0.95,133,79
swebenchverified,codex,run_cost,100,90,209,2.09,144,1.44,38,0.38,125,1.25,78,0.78,103,50
swebenchverified,codex,run_full,100,100,319,3.19,264,2.64,30,0.3,229,2.29,136,1.36,180,96
swebenchverified,opencode,run_free,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
swebenchverified,opencode,run_less_k1,100,75,1101,11.01,1035,10.35,55,0.55,410,4.1,63,0.63,74,393
swebenchverified,opencode,run_less_k3,100,74,950,9.5,855,8.55,91,0.91,141,1.41,2,0.02,74,214
swebenchverified,opencode,run_cost,100,68,1042,10.42,943,9.43,90,0.9,286,2.86,34,0.34,62,313
swebenchverified,opencode,run_full,100,59,1147,11.47,1074,10.74,66,0.66,299,2.99,23,0.23,45,325
